Mods count: 302
 
                                     jar name                                      |     notes     |                 mod id                 |                               mod name                                |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
-----------------------------------------------------------------------------------+---------------+----------------------------------------+-----------------------------------------------------------------------+------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------+----------------
fmlloader-1.20.1-47.4.20.jar (modloader)                                           |               | forge                                  | forge                                                                 | fmlloader-1.20.1-47.4.20.jar |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
[1.19.4-1.20.1]witherswrath-1.16.jar                                               |               | witherswrath                           | Wither's Wrath                                                        | 1.16                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 343098db59145d0624c5b187f2d27538b19767ae | 3354739798     
acedium-0.2.7-beta.jar                                                             |               | acedium                                | Acedium                                                               | 0.2.7-beta                   | nvidium.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | a8def1a80485ae2fb48e72bac0d44627634c8b1f | 4251910945     
adaptive-mobs-1.0.0.jar                                                            | via Connector | adaptive-mobs                          | Adaptive Mobs                                                         | 1.0.0                        | adaptive-mobs.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 59a2be0dbf514ba02f98b4fcc6286f0981060792 | 2943906069     
adaptive_performance_tweaks_core_1.20.1-11.6.1.jar                                 |               | adaptive_performance_tweaks_core       | APTweaks: Core                                                        | 11.6.1                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | bc3d9c05377074bb0766eba35feabb2b45dfed0c | 2003469399     
adaptive_performance_tweaks_gamerules_1.20.1-11.6.1.jar                            |               | adaptive_performance_tweaks_gamerules  | APTweaks: Gamerules                                                   | 11.6.1                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | da518957f38005acf1774d38013f5ca9f59e4805 | 2546336682     
adaptive_performance_tweaks_items_1.20.1-11.6.1.jar                                |               | adaptive_performance_tweaks_items      | APTweaks: Items                                                       | 11.6.1                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 52b58d36ca830d684119a4ae0a2c16d310b62ba3 | 3911928306     
adaptive_performance_tweaks_player_1.20.1-11.6.1.jar                               |               | adaptive_performance_tweaks_player     | APTweaks: Player                                                      | 11.6.1                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 632208b88322cb4985a45cf1448d5dce7b12a7cb | 2107440881     
adaptive_performance_tweaks_spawn_1.20.1-11.6.1.jar                                |               | adaptive_performance_tweaks_spawn      | APTweaks: Spawn                                                       | 11.6.1                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | ed88f74929ef22c5603571b5bba64cac83175e12 | 3769224682     
AdvancedLootInfo-forge-1.20.1-1.11.0.jar                                           |               | ali                                    | AdvancedLootInfo                                                      | 1.10.0                       | ali.mixins.json, ali.lootjs.mixins.json, ali.forge.mixins.json, ali.emi.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                          | ad631b35c41e48637bb5a7b52a0c82ab51b0621c | 4285008841     
AI-Improvements-1.20-0.5.2.jar                                                     |               | aiimprovements                         | AI-Improvements                                                       | 0.5.2                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 11ad483d1fd1f7ebd84b4940b1dc0926b3e9daa8 | 2983526960     
alexscaves-2.0.2.jar                                                               |               | alexscaves                             | Alex's Caves                                                          | 2.0.2                        | citadel.mixins.json, alexscaves.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                  | a1e5c7b7c7eadda4c8e954acbcbaf75a7b500d53 | 3087031510     
alexsmobs-1.22.9.jar                                                               |               | alexsmobs                              | Alex's Mobs                                                           | 1.22.9                       | citadel.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | dbf93d2f1da19e16739e91e8ea0fc6f4bc2f228f | 1000930585     
alexsmobsdelight-1.0.5.jar                                                         |               | alexsmobsdelight                       | Alex's Mobs Delight                                                   | 1.0.5                        | alexsmobsdelight.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | af3cda858e3487fa0e15613cef1a1ffd61bd1530 | 4019122118     
alltheleaks-1.1.1+1.20.1-forge.jar                                                 |               | alltheleaks                            | All The Leaks                                                         | 1.1.1+1.20.1-forge           | alltheleaks.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 3c43c2e76093dc7ef5ad6e456d20da9674c653aa | 1225915087     
almanac-1.20.x-forge-1.0.2.jar                                                     |               | almanac                                | Almanac                                                               | 1.0.2                        | almanac.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | f0b711df59cd589b088e536ca4134c5e6e73fd58 | 409215932      
alternate_current-mc1.20-1.7.0.jar                                                 |               | alternate_current                      | Alternate Current                                                     | 1.7.0                        | alternate-current.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 02def44a2c416459ee5daecbe1caa6d78571e205 | 3174366965     
amarite-1.5-1.0.8.jar                                                              | via Connector | amarite                                | Amarite                                                               | 1.0.8                        | amarite.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | abb86045da9d7d1cee2f67f00376450cef44ddbb | 2329163784     
    /META-INF/jars/cardinal-components-base-5.2.2.jar                              |               | cardinal-components-base               | Cardinal Components API (base)                                        | 5.2.2                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jars/cardinal-components-block-5.2.2.jar                             |               | cardinal-components-block              | Cardinal Components API (blocks)                                      | 5.2.2                        | mixins.cardinal_components_block.json                                                                                                                                                                                                                                                                                                                                                                                                                                                        |                                          |                
    /META-INF/jars/cardinal-components-entity-5.2.2.jar                            |               | cardinal-components-entity             | Cardinal Components API (entities)                                    | 5.2.2                        | mixins.cardinal_components_entity.json                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                          |                
